Company,ticker,Portfolio percent,Price,Change,Change percentage,Volume,MarketCap,P/ETail,P/Efuture,EarningsPerShare(trailing),EarningsPerShare(future),DividendYield,Dividend
"Servicenow, Inc.",NOW,0.38%,   775.29,-4.71,(-0.60%),"9,976",159.90B,92.67,48.76,8.42,16.00,,
Caterpillar Inc.,CAT,0.38%,   324.04,0.97,(0.30%),"4,756",164.47B,16.04,14.47,20.15,22.33,,
General Electric Company,GE,0.38%,   148.85,0.48,(0.32%),"14,826",161.48B,17.75,25.12,8.36,5.91,,
Applied Materials Inc,AMAT,0.37%,   198.79,11.13,(5.93%),"623,445",156.14B,23.13,20.62,8.11,9.10,,
Amgen Inc,AMGN,0.37%,   287.15,-1.92,(-0.67%),"107,753",154.70B,23.15,13.59,12.48,21.28,,
Pfizer Inc.,PFE,0.36%,   27.52,0.01,(0.02%),"129,667",155.33B,78.29,10.08,0.35,2.73,,
Union Pacific Corp.,UNP,0.36%,   249.65,-0.90,(-0.36%),124,152.78B,23.97,19.86,10.45,12.62,,
Texas Instruments Incorporated,TXN,0.34%,   160.54,-0.17,(-0.11%),"7,407",146.13B,22.73,25.08,7.07,6.41,,
Philip Morris International Inc.,PM,0.33%,   88.82,-0.16,(-0.18%),"2,849",138.14B,17.74,12.53,5.01,7.10,,
S&p Global Inc.,SPGI,0.32%,   422.77,-1.72,(-0.41%),363,133.33B,51.56,26.46,8.23,16.04,,
Intuitive Surgical Inc.,ISRG,0.32%,   378.33,-1.84,(-0.48%),"1,203",133.95B,75.60,52.18,5.03,7.29,,
Rtx Corporation,RTX,0.31%,   91.54,-0.25,(-0.27%),"4,719",121.79B,41.01,14.90,2.24,6.16,,
Lowe's Companies Inc.,LOW,0.31%,   227.38,-0.96,(-0.42%),"4,665",131.31B,17.60,17.98,12.98,12.70,,
Booking Holdings Inc.,BKNG,0.31%,"   3,744.57",-6.09,(-0.16%),972,130.86B,26.12,21.29,143.58,176.14,,
"Nike, Inc.",NKE,0.31%,   104.46,-1.59,(-1.50%),"53,061",160.69B,30.97,25.02,3.42,4.24,,
Conocophillips,COP,0.31%,   111.56,0.56,(0.50%),"1,517",131.80B,12.24,11.56,9.07,9.60,,
"Honeywell International, Inc.",HON,0.31%,   197.34,-0.61,(-0.31%),806,130.50B,23.37,18.34,8.47,10.79,,
Goldman Sachs Group Inc.,GS,0.29%,   383.46,-1.96,(-0.51%),"3,813",125.69B,16.89,9.80,22.82,39.31,,
American Express Company,AXP,0.29%,   212.51,-0.02,(-0.01%),"4,049",153.84B,18.95,14.38,11.22,14.78,,
At&t Inc.,T,0.29%,   16.93,-0.16,(-0.95%),"153,003",122.19B,8.71,7.41,1.96,2.30,,
Lam Research Corp,LRCX,0.29%,   939.18,25.40,(2.78%),"19,935",119.80B,35.33,25.65,25.86,35.62,,
"Prologis, Inc.",PLD,0.29%,   131.78,-1.32,(-0.99%),"1,757",124.25B,41.91,39.04,3.18,3.41,,
"Elevance Health, Inc.",ELV,0.28%,   509.93,1.10,(0.22%),36,119.55B,20.22,12.26,25.17,41.52,,
Stryker Corporation,SYK,0.28%,   349.13,0.34,(0.10%),128,132.52B,42.29,26.23,8.25,13.30,,
Boeing Company,BA,0.27%,   204.64,-0.69,(-0.33%),"39,658",125.28B,-,25.53,-3.67,8.04,,
"Nextra Energy, Inc.",NEE,0.27%,   56.85,-0.42,(-0.73%),"6,887",117.50B,15.88,15.62,3.61,3.67,,
"Palo Alto Networks, Inc.",PANW,0.27%,   370.34,3.46,(0.94%),"114,030",115.68B,207.97,56.59,1.76,6.48,,
Medtronic Plc,MDT,0.26%,   84.44,-0.28,(-0.33%),"2,481",112.65B,27.53,15.55,3.08,5.45,,
"Tjx Companies, Inc.",TJX,0.26%,   98.01,0.07,(0.07%),"586,639",111.62B,27.73,23.81,3.53,4.11,,
"Eaton Corporation, Plcs",ETN,0.26%,   275.79,-0.00,(-0.00%),386,110.12B,34.39,24.53,8.02,11.24,,
Progressive Corporation,PGR,0.26%,   190.15,0.91,(0.48%),136,110.76B,28.74,18.11,6.58,10.45,,
"Blackrock, Inc.",BLK,0.26%,   795.78,-2.27,(-0.28%),692,118.72B,21.86,17.64,36.51,45.25,,
Vertex Pharmaceuticals Inc,VRTX,0.26%,   426.95,0.66,(0.16%),"2,616",109.85B,30.70,23.14,13.89,18.42,,
Starbucks Corp,SBUX,0.26%,   93.14,-0.08,(-0.09%),"192,490",105.54B,24.93,19.58,3.74,4.76,,
Morgan Stanley,MS,0.25%,   85.52,-0.15,(-0.18%),"3,137",140.61B,16.56,11.74,5.17,7.30,,
"United Parcel Service, Inc. Class B",UPS,0.25%,   145.46,-1.52,(-1.04%),"46,512",125.22B,18.86,15.03,7.79,9.78,,
Citigroup Inc.,C,0.25%,   55.02,-0.19,(-0.34%),"62,549",105.67B,13.72,7.81,4.02,7.07,,
Automatic Data Processing,ADP,0.25%,   251.25,-0.80,(-0.32%),"3,122",103.54B,29.33,25.20,8.59,10.00,,
Deere & Company,DE,0.25%,   360.82,-3.84,(-1.05%),"18,161",102.10B,10.52,12.86,34.65,28.36,,
Regeneron Pharmaceuticals Inc,REGN,0.24%,   952.61,-2.12,(-0.22%),"15,256",104.79B,27.47,20.10,34.75,47.50,,
Chubb Limited,CB,0.24%,   251.03,-0.03,(-0.01%),51,102.43B,11.50,10.57,21.83,23.76,,
Bristol-Myers Squibb Co.,BMY,0.24%,   49.22,-0.22,(-0.44%),"832,883",99.98B,12.82,6.93,3.86,7.13,,
The Cigna Group,CI,0.24%,   339.84,0.64,(0.19%),288,99.22B,19.51,10.62,17.39,31.95,,
Cvs Health Corporation,CVS,0.23%,   76.73,0.13,(0.17%),"5,442",96.40B,11.85,8.28,6.47,9.25,,
"Marsh & Mclennan Companies, Inc.",MMC,0.23%,   201.25,0.26,(0.13%),48,98.82B,26.71,21.21,7.53,9.48,,
"Mondelez International, Inc. Class A",MDLZ,0.23%,   71.43,-0.18,(-0.25%),"1,203",96.42B,19.79,18.73,3.62,3.82,,
Boston Scientific Corp.,BSX,0.23%,   66.28,0.19,(0.28%),"2,789",96.82B,61.75,25.89,1.07,2.55,,
The Charles Schwab Corporation,SCHW,0.22%,   64.49,-0.14,(-0.22%),"6,034",114.55B,25.46,14.92,2.54,4.33,,
"Analog Devices, Inc.",ADI,0.22%,   187.68,0.14,(0.07%),"191,034",92.99B,28.67,21.72,6.54,8.63,,
Lockheed Martin Corp.,LMT,0.22%,   423.71,0.59,(0.14%),"1,890",102.24B,15.36,15.26,27.55,27.73,,
Gilead Sciences Inc,GILD,0.22%,   72.52,-0.85,(-1.16%),"282,509",91.42B,16.28,9.75,4.51,7.52,,
Blackstone Inc.,BX,0.22%,   128.79,-1.46,(-1.12%),"12,077",157.31B,70.94,21.32,1.84,6.11,,
"Micron Technology, Inc.",MU,0.21%,   81.08,-0.55,(-0.67%),"167,468",90.11B,-,12.52,-6.28,6.52,,
Kla Corporation,KLAC,0.21%,   664.49,12.11,(1.86%),"8,382",88.22B,33.13,23.48,19.69,27.78,,
American Tower Corporation,AMT,0.21%,   186.81,-2.65,(-1.40%),"1,500",88.32B,124.18,38.96,1.53,4.86,,
"Fiserv, Inc.",FI,0.21%,   148.11,0.10,(0.07%),580,88.83B,29.61,14.78,5.00,10.02,,
Synopsys Inc,SNPS,0.20%,   559.70,1.87,(0.33%),"5,053",85.08B,70.26,35.87,7.94,15.55,,
Zoetis Inc.,ZTS,0.20%,   189.34,-0.31,(-0.16%),30,86.84B,37.40,28.91,5.07,6.56,,
"T-Mobile Us, Inc.",TMUS,0.20%,   161.15,-0.42,(-0.26%),"131,844",191.76B,23.29,14.06,6.94,11.49,,
Cadence Design Systems,CDNS,0.19%,   296.24,0.57,(0.19%),"55,320",80.44B,77.45,42.58,3.82,6.94,,
Intercontinental Exchange  Inc.,ICE,0.19%,   137.57,0.68,(0.50%),59,78.39B,32.60,20.75,4.20,6.60,,
"Equinix, Inc. Reit",EQIX,0.19%,   865.65,-9.32,(-1.07%),"19,082",82.14B,84.89,70.99,10.31,12.33,,
Cme Group Inc.,CME,0.18%,   211.84,0.82,(0.39%),"46,586",75.97B,23.81,21.62,8.86,9.76,,
The Southern Company,SO,0.18%,   66.08,-0.75,(-1.13%),"9,134",72.89B,24.19,15.45,2.76,4.32,,
The Sherwin-Williams Company,SHW,0.17%,   311.77,-0.74,(-0.24%),"442,790",79.99B,33.82,24.71,9.24,12.65,,
Csx Corporation,CSX,0.17%,   36.92,-0.08,(-0.22%),"8,904",73.12B,20.06,16.84,1.84,2.20,,
"Waste Management, Inc.",WM,0.17%,   199.64,0.53,(0.27%),474,79.96B,35.15,25.56,5.66,7.79,,
"Chipotle Mexican Grill, Inc.",CMG,0.17%,"   2,618.98",0.98,(0.04%),418,71.79B,59.04,40.39,44.34,64.82,,
"Altria Group, Inc.",MO,0.17%,   40.13,-0.04,(-0.11%),"40,086",70.84B,8.80,7.64,4.56,5.26,,
Duke Energy Corporation,DUK,0.17%,   91.68,-0.68,(-0.73%),313,71.21B,26.03,14.57,3.55,6.34,,
Illinois Tool Works Inc.,ITW,0.17%,   256.13,-0.70,(-0.27%),36,76.74B,26.37,23.54,9.74,10.91,,
"Becton, Dickinson and Co.",BDX,0.16%,   239.20,-0.76,(-0.32%),103,69.32B,56.75,16.72,4.23,14.35,,
Colgate-Palmolive Company,CL,0.16%,   83.65,0.08,(0.10%),89,68.81B,30.10,21.96,2.78,3.81,,
Schlumberger Limited,SLB,0.16%,   48.72,0.14,(0.28%),"15,066",69.34B,16.69,11.66,2.91,4.17,,
Parker-Hannifin Corporation,PH,0.16%,   522.99,1.12,(0.21%),71,67.01B,25.83,20.05,20.21,26.03,,
Target Corporation,TGT,0.16%,   145.95,-0.38,(-0.26%),"6,687",67.55B,18.64,15.95,7.85,9.18,,
Arista Networks,ANET,0.16%,   266.68,0.18,(0.07%),"19,441",83.32B,40.51,31.16,6.58,8.55,,
Mckesson Corporation,MCK,0.16%,   507.35,1.67,(0.33%),61,66.45B,22.92,16.31,22.06,31.01,,
"Eog Resources, Inc.",EOG,0.15%,   115.04,0.79,(0.69%),797,66.62B,8.49,9.55,13.46,11.97,,
Marathon Petroleum Corporation,MPC,0.15%,   171.53,0.22,(0.13%),"1,490",65.05B,7.36,11.78,23.29,14.54,,
"Airbnb, Inc. Class A",ABNB,0.15%,   155.05,-2.64,(-1.67%),"49,349",100.93B,19.10,31.98,8.26,4.93,,
Phillips 66,PSX,0.15%,   145.42,-0.95,(-0.65%),740,64.40B,9.47,10.25,15.46,14.28,,
"Paypal Holdings, Inc.",PYPL,0.15%,   58.90,-0.80,(-1.33%),"162,443",63.98B,15.52,10.52,3.85,5.68,,
Transdigm Group Incorporated,TDG,0.15%,"   1,160.78",2.99,(0.26%),59,64.38B,49.15,31.04,23.56,37.30,,
Northrop Grumman Corp.,NOC,0.15%,   450.33,0.33,(0.07%),729,67.52B,33.41,16.28,13.47,27.64,,
U.S. Bancorp,USB,0.15%,   41.23,-0.32,(-0.78%),"5,095",64.69B,12.68,9.46,3.28,4.39,,
Trane Technologies Plc,TT,0.15%,   272.56,-0.40,(-0.15%),64,61.98B,31.08,23.93,8.78,11.40,,
Amphenol Corporation,APH,0.15%,   106.09,0.42,(0.40%),"2,578",63.39B,34.02,28.61,3.11,3.69,,
"O'reilly Automotive, Inc.",ORLY,0.15%,"   1,055.22",7.32,(0.70%),"10,588",61.99B,27.22,22.29,38.49,47.02,,
Aon Plc Class A,AON,0.15%,   312.26,-2.11,(-0.67%),"1,027",62.94B,25.18,17.92,12.48,17.54,,
General Dynamics Corporation,GD,0.14%,   269.67,-0.33,(-0.12%),198,73.97B,22.45,16.54,12.03,16.32,,
"Hca Healthcare, Inc.",HCA,0.14%,   307.06,-0.60,(-0.20%),29,82.35B,16.21,13.50,18.98,22.80,,
Nxp Semiconductors N.v.,NXPI,0.14%,   234.57,0.08,(0.03%),"3,972",60.44B,21.87,14.91,10.72,15.73,,
Emerson Electric Co.,EMR,0.14%,   105.85,0.14,(0.14%),247,60.43B,146.58,18.30,0.72,5.78,,
Pnc Financial Services Group,PNC,0.14%,   148.61,-1.02,(-0.68%),480,59.60B,11.71,10.58,12.78,14.15,,
Marriot International Class A,MAR,0.14%,   239.31,-1.18,(-0.49%),"60,531",69.62B,23.60,22.32,10.19,10.77,,
Moody's Corporation,MCO,0.14%,   373.24,0.00,(0.00%),414,68.30B,42.73,29.90,8.74,12.48,,
"Roper Technologies, Inc.",ROP,0.14%,   548.33,0.35,(0.06%),"15,073",58.54B,43.16,28.02,12.70,19.55,,
Norfolk Southern Corp.,NSC,0.14%,   253.34,-1.00,(-0.39%),13,57.45B,31.66,18.61,8.03,13.67,,
Autodesk Inc,ADSK,0.13%,   261.22,-0.03,(-0.01%),"1,804",55.88B,61.56,32.12,4.24,8.13,,
Paccar Inc,PCAR,0.13%,   108.15,0.09,(0.08%),668,56.52B,12.33,12.57,8.77,8.59,,
"Ecolab, Inc.",ECL,0.13%,   216.55,0.08,(0.04%),365,61.72B,45.23,29.73,4.79,7.28,,
Fedex Corporation,FDX,0.13%,   235.59,-0.93,(-0.39%),"5,457",59.10B,14.01,10.91,16.88,21.68,,
Freeport-Mcmoran Inc.,FCX,0.13%,   39.10,0.85,(2.23%),"152,984",54.85B,30.11,18.18,1.27,2.10,,
Lululemon Athletica Inc.,LULU,0.13%,   456.73,-2.25,(-0.49%),"2,710",57.92B,58.40,32.09,7.86,14.30,,
Cintas Corp,CTAS,0.13%,   620.25,-0.77,(-0.12%),"13,880",62.95B,45.04,38.42,13.79,16.16,,
"Motorola Solutions, Inc.",MSI,0.13%,   323.83,-0.08,(-0.02%),572,53.76B,32.61,23.45,9.93,13.81,,
Pioneer Natural Resource Co.,PXD,0.13%,   231.93,0.38,(0.16%),933,54.09B,11.05,11.11,20.95,20.84,,
General Motors Company,GM,0.12%,   38.79,-0.20,(-0.52%),"35,644",45.01B,5.33,4.43,7.31,8.81,,
Edwards Lifesciences Corp,EW,0.12%,   85.88,-0.16,(-0.18%),37,51.74B,37.38,27.83,2.30,3.09,,
Welltower Inc.,WELL,0.12%,   92.98,-0.76,(-0.81%),"1,174",51.88B,181.28,58.57,0.52,1.60,,
Capital One Financial,COF,0.12%,   135.87,-0.49,(-0.36%),"1,743",51.93B,11.41,8.34,11.95,16.34,,
Arthur J. Gallagher & Co.,AJG,0.12%,   241.21,0.66,(0.27%),54,52.15B,54.20,21.12,4.44,11.39,,
3m Company,MMM,0.12%,   91.70,-0.68,(-0.73%),"11,884",51.06B,-,8.95,-12.63,10.33,,
"The Travelers Companies, Inc.",TRV,0.12%,   218.69,-0.33,(-0.15%),45,50.02B,17.06,10.57,12.84,20.73,,
Hilton Worldwide Holdings Inc.,HLT,0.12%,   195.65,-0.51,(-0.26%),80,49.46B,45.41,23.94,4.32,8.20,,
Ross Stores Inc,ROST,0.12%,   144.16,-0.23,(-0.16%),666,48.61B,28.59,24.71,5.05,5.84,,
"American International Group, Inc.",AIG,0.12%,   70.16,-0.14,(-0.20%),"1,380",49.35B,14.08,8.37,4.99,8.40,,
"Air Products & Chemicals, Inc.",APD,0.11%,   226.89,-0.06,(-0.03%),"2,190",50.45B,21.70,16.89,10.46,13.44,,
Ford Motor Company,F,0.11%,   12.42,-0.10,(-0.82%),"314,763",50.12B,11.65,6.80,1.07,1.84,,
"Autozone, Inc.",AZO,0.11%,"   2,729.55",4.67,(0.17%),6,47.11B,19.78,16.59,137.78,164.27,,
Valero Energy Corporation,VLO,0.11%,   142.03,0.04,(0.03%),616,48.34B,5.74,11.25,24.74,12.62,,
Truist Financial Corporation,TFC,0.11%,   36.09,-0.24,(-0.66%),"24,996",48.45B,-,9.30,-1.10,3.90,,
Idexx Laboratories Inc,IDXX,0.11%,   562.93,-5.90,(-1.04%),205,47.24B,56.51,44.39,10.07,12.81,,
"Simon Property Group, Inc.",SPG,0.11%,   145.98,-2.02,(-1.37%),"3,772",48.28B,21.29,22.24,6.95,6.65,,
Carrier Global Corporation,CARR,0.11%,   55.54,-0.51,(-0.91%),578,50.35B,35.45,18.15,1.58,3.09,,
Crown Castle Inc.,CCI,0.11%,   106.43,-1.56,(-1.44%),"1,112",46.87B,31.28,42.52,3.45,2.54,,
"Msci, Inc.",MSCI,0.11%,   573.47,-2.25,(-0.39%),62,45.53B,39.99,33.83,14.40,17.02,,
"Fortinet, Inc.",FTNT,0.11%,   69.75,-0.51,(-0.73%),"3,659",53.95B,48.29,36.52,1.45,1.92,,
"Dexcom, Inc.",DXCM,0.11%,   117.25,-0.44,(-0.37%),"99,134",45.37B,89.79,52.83,1.31,2.23,,
Iqvia Holdings Inc.,IQV,0.11%,   241.51,0.04,(0.02%),"1,086",44.07B,33.09,19.23,7.30,12.55,,
Humana Inc.,HUM,0.11%,   365.25,1.27,(0.35%),579,44.81B,18.36,14.63,19.82,24.88,,
Nucor Corporation,NUE,0.11%,   186.51,0.15,(0.08%),"1,158",45.81B,10.36,13.65,17.99,13.65,,
Public Storage,PSA,0.11%,   283.25,-3.01,(-1.05%),150,50.34B,26.24,25.64,10.91,11.17,,
"United Rentals, Inc.",URI,0.11%,   657.41,-3.55,(-0.54%),475,44.41B,18.69,14.17,35.36,46.66,,
Te Connectivity Ltd,TEL,0.11%,   143.42,0.25,(0.18%),16,44.21B,13.59,17.04,10.53,8.40,,
D.R. Horton Inc.,DHI,0.10%,   143.02,-2.36,(-1.62%),"4,461",48.24B,10.46,9.36,13.90,15.52,,
Sempra,SRE,0.10%,   70.14,-0.37,(-0.52%),200,44.37B,16.32,14.62,4.32,4.82,,
Microchip Technology Inc,MCHP,0.10%,   82.31,-0.20,(-0.24%),"7,359",44.59B,19.28,27.12,4.28,3.04,,
